,Title
1035,Mrs. Hugh Hammersley
1036,Conversation Piece
1037,Women's Art Class
1038,George Washington
1039,Still Life with Fruit
1040,Still Life with Ewer and Fruit
1041,Still Life with Grapes
1042,Michael Angelo and Emma Clara Peale
1043,Gulian Verplanck
1044,Fair Critics
1045,The Temptation of Eros
1046,The Victory of Eros
1047,The Hubbell Children
1048,Captain John Gell
1049,Venetian Summer
1050,The Brook in the Woods
1051,Winter in Union Square
1052,Henry G. Stebbins
1053,Flight Into Egypt
1054,Elizabeth Greenleaf
1055,John Greenleaf
1056,"Study for ""Christ at the Home of Lazarus"""
1057,Portrait of a Lady
1058,Rip Van Winkle
1059,Preparatory sketch for the Snake Charmer at Tangiers
1060,Painting of an exotic flower
1061,Oil Study of Hindu Iconography
1062,Portrait of a Lady and Child
1063,Ellen Vanderpoel McCoy
1064,River Landscape
1065,"Bouquet Valley, Adirondack Mountains"
1066,"Hook Mountain, Hudson River"
1067,Landscape with Cows Watering in a Stream
1068,General George Eliott
1069,Lake George and the Village of Caldwell
1070,Lake George
1072,Still Life with Strawberries in a Compote
1073,Denise at Her Dressing Table
1074,Landscape with Cows
1075,Catherina Elmendorf
1076,John Shaw
1077,The Family of John Q. Aymar
1078,John Taylor Johnston
1079,Augustus Saint-Gaudens
1080,Metropolitan Tower
1081,Benjamin Altman
1082,Repairing the Bridge
1083,The Spanish Gypsy
1084,Winter
1085,Claremont Avenue
1086,"Swan Pond, Bellport, Long Island"
1087,F. Ambrose Clark
1088,"Port Cochere at 39 Elm Street, Worcester, Mass."
1089,Swimming Party
1090,"Turkish Fountain with Garden (from Louis C. Tiffany Estate, Oyster Bay)"
1091,Hudson at Newburgh
1092,Portrait of a Girl
1093,"Central Park, Winter"
1094,London Music Hall
1095,The Old Duchess
1096,"Dust Storm, Fifth Avenue"
1097,Celia's Arbor
1098,"Interior, Evening"
1099,Senator Elihu Root
1101,The Lafayette
1102,Robert W. de Forest
1103,Delaware Water Gap Village
1104,William Sloane Coffin
1105,"Landscape, Binghamton, New York"
1106,The Gamblers
1107,Abandoned
1108,Harbor at Tangier
1109,The Haunted House
1110,The Green Car
1111,The Jitney
1112,Bird by the Sea
1113,Delaware Water Gap Village
1114,Thanksgiving Turkey
1115,Dutch Girl in White
1116,Nastasya Burns the Money
1117,Boy with Baseball
1118,The Sewing Woman
1119,Susan Metcalf Casals
1120,Mary Fanton Roberts
1121,The Masquerade Dress
1122,Paris Night
1123,"Amory S. Carhart, Jr."
1124,"Sailing at Moonlight, Samoa"
1125,Farmhouse
1126,Landscape
1127,Crowd at the Seashore
1128,John
1129,Harlem River
1130,Boy with Violin
1131,Spanish Music Hall
1132,The Green Dance Dress
1133,Birthplace of the Artist
1134,New York at Night
1135,Samoa
1136,Tragedy of the Sea
1137,From My Studio Window
1138,"The Monongahela River Valley, Pennsylvania"
1139,The Old Elm
1140,Fishermen
1141,Fern and Peonies
1142,Bain de Soleil
1143,"Low Tide, Riverside Yacht Club"
1144,Self-Portrait
1145,A Family Group
1146,Reynold Keen
1147,Christiana Stille Keen
1148,James DeLancey
1149,Story of Golden Locks
1150,Children with Goat
1151,"Evening at the Lock, Napanoch, New York"
1152,Portrait of William Duguid
1153,Beach Scene
1154,"Sketch for View from Mount Holyoke, Northampton, Massachusetts, after a Thunderstorm (The Oxbow)"
1155,The Thomas Hunt and the America
1156,Willow Pond
1157,Preparing for Christmas (Plucking Turkeys)
1158,Moving Day (in Little Old New York)
1159,Court Room Scene
1160,The Five Points
1161,Reading the News
1162,Alexander Hamilton
1163,Young Husband: First Marketing
1164,Henry L. Clark and John W. Clark
1165,Double Portrait of John Somes Dolliver and William Collins Dolliver
1166,Clouds
1167,Portrait of Frieseke
1168,"Portrait of Walter Devereux (1539–1576), First Earl of Essex"
1169,"Portrait of Duke Johann Friedrich I (1503-1554), Elector of Saxony"
1170,"Giovanni Battista Rota, Member of the Rota Family of Venice"
1171,Portrait of a Man in Armor
1172,"Guidobaldo II della Rovere, Duke of Urbino (1514–1574), With his  Armor by Filippo Negroli"
1173,Portrait of Major-General John E. Wool
1174,"Luigi III, Prince of Venosa"
1175,明  佚名  婦女肖像 圖   鏡面|Portrait of a Lady
1177,松に鷹図大津絵|Ōtsu-e of Falcon on a Pine Tree
1178,近代  關良  戲劇人物  軸|Opera Figure
1306,清  佚名   滿清官員像     軸|Portrait of a Manchu Official
1307,"月に兎・牡丹・立葵図|Rabbits under the Moon, Peonies, and Hollyhocks"
1308,能面図・般若|Noh Mask of a Demoness (Hannya)
1309,能面図・朝倉尉|Noh Mask of an Old Man (Asakurajō)
1310,清  虛谷  菊花  軸|Chrysanthemum
1311,近代  吳昌碩  烹茶圖  橫軸|Brewing Tea
1312,近代  范曾  老子  軸|Laozi
1339,竹に翡翠図|Kingfisher and Bamboo
1341,方便法身尊影|Amida Manifesting in the Dharma-body of Expedient Means
1344,虞子君図 (Gushigimi zu)|Consort Yu
1345,楊貴妃図 (Yō Kihi zu)|Yang Guifei
1480,永遠的路|Distant Road
1481,Berthe David-Weill
1482,Classical design
1483,Classical design
1484,Pygmalion and Galatea as Infants
1485,Flowers in a Blue Vase
1486,Classical Landscape with Gypsies
1487,Three dancing nymphs and a reclining cupid in a landscape
1488,Saint Lucy
1489,Virgin of the Rosary with Dominican Saints and Donor
1490,El Niño de Atocha
1491,The Virgin of Sorrows
1492,Saint Jerome
1493,The Trinity
1494,Nuestra Señora de los Desamparados (Our Lady of the Forsaken)
1495,"Chelsea Embankment, London"
1496,Girl Standing
1497,Madame Lucie Dreyfus Sortant de la Prison de Rennes
1498,[Construction Site]
1499,[Shack and Wagon Behind Fence]
1500,[Red Building in Field]
1501,"[Barn with Porch Addition, Old Lyme, Connecticut]"
1502,[Architectural Interior]
1503,[Boat with Palm Trees on Shore]
1505,[Seashore Scene with Boardwalk]
1506,[Shack with Broken Windows]
1507,[White Flat-Roofed House with Palm Trees]
1508,[Ship's Prow]
1509,[Landscape with Adobe Church]
1510,[Red Church]
1511,[Three Director's Chairs]
1512,The Shell House
1513,"Anna Maria, Florida"
1514,[Portrait of Walker Evans]
1515,"Le Salon de Walker Evans, 1666 York Avenue, New York"
1516,Border #8
1518,Butane
1519,Harmol
1520,Rock Painting
1521,Painting
1522,Bark Painting
1523,Painting
1524,Asmat Artisan
1525,"Painting by Lunda Hoye Gill, ""Asmat Chief"""
1526,Painting
1527,Painting
1528,Painting
1529,Painting
1530,Painting
1531,Painting
1532,Painting
1533,Painting
1535,"Design for Small Silver Ornaments: A Branched Candlestick, a Violin, a Small Table, a Woman Beside a Tree and a Man Pushing a Woman on a Swing"
1536,Lady Dashwood and Her Son
1537,"Kenneth Callahan painting on cardboard, 1947"
1538,Flora and Zephyr
1539,Saint Alexander
1540,The Crucifixion
1541,The Nativity
1542,The Nativity
1543,Christ Crowned with Thorns
1544,Portrait of a Young Man
1545,Madonna and Child
1546,Portrait of a Married Couple (Lorenz Kraffter and Honesta Merz?)
1547,Ivan Rodin
1548,Family Group in a Landscape
1549,Leda and the Swan
1550,Madonna and Child
1551,Old Woman in an Armchair
1552,Portrait of an Old Woman
1553,"Portrait of a Man, Possibly a Botanist"
1554,Boatmen of Barcelona
1555,Saint John on Patmos
1556,Madonna and Child
1557,A Footman Sleeping
1558,A Bashi-Bazouk
1559,Madonna and Child with the Young Saint John the Baptist
1560,Portrait of a Man
1561,Saint Dominic Resuscitating Napoleone Orsini
1562,Saint Thomas Aquinas Aided by Saints Peter and Paul
1563,Joan of Arc
1564,Diana and Cupid
1565,Portrait of a Young Man
1566,Porte de la Reine at Aigues-Mortes
1567,In the Sun
1568,Edward Miles (1752–1828)
1569,"George IV (1762–1830), When Prince of Wales"
1570,Portrait of a Woman
1571,"Skating at Sloten, near Amsterdam"
1572,Chancellor Leonhard von Eck (1480–1550)
1573,Madonna Adoring the Sleeping Child
1574,Madonna and Child
1575,Madonna and Child with Saints
1576,The Circumcision
1577,Madonna and Child
1578,Madonna and Child
1579,Pirna: The Obertor from the South
1580,Vaprio d'Adda
1581,Project for a Room for King Ludwig II (1854–1886) of Bavaria
1582,Judith
1583,"Madame Philippe Panon Desbassayns de Richemont (Jeanne Eglé Mourgue, 1778–1855) and Her Son, Eugène (1800–1859)"
1584,The Lamentation
1585,"Sunday at the Church of Saint-Philippe-du-Roule, Paris"
1586,A Windy Day on the Pont des Arts
1587,Rest
1588,The Assumption of the Virgin
1589,"The Twelve Apostles: Saints Bartholomew, Andrew, Matthew, James the Greater, Thaddeus, Philip, James the Lesser, Simon, Peter, Paul, Thomas, and John"
1590,Madonna and Child
1591,Madonna and Child with Angels
1592,Still Life with Lobster and Fruit
1593,Portrait of a Young Man
1594,Scenes from the Story of the Argonauts
1595,The Story of Joseph
1596,A Young Woman and a Cavalier
1597,The Angel Appearing to Zacharias
1598,Angelica and Medoro
1599,The Outer Harbor of Brest
1600,The Temptation of Saint Anthony
1601,Moses Striking the Rock
1602,Madonna and Child
1603,Island of the Dead
1604,Roman Landscape
1605,Portrait of a Man
1606,Portrait of a Woman
1607,Portrait of a Woman
1608,Petronella Elias (1648–1667) with a Basket of Fruit
1609,Gossip
1610,"Mrs. Charles Warren-Cram (Ella Brooks Carter, 1846–1896)"
1611,"Consuelo Vanderbilt (1876–1964), Duchess of Marlborough, and Her Son, Lord Ivor Spencer-Churchill (1898–1956)"
1612,The Dispatch-Bearer
1613,Environs of Fontainebleau: Woodland and Cattle
1614,The Horse Fair
1615,Weaning the Calves
1616,A Limier Briquet Hound
1617,The Legend of the Infant Servius Tullius
1618,Madonna and Child with Saints
1619,Roadside Halt
1620,Roman Girl at a Fountain
1621,John Taylor Johnston (1820–1893)
1622,An Egyptian Peasant Woman and Her Child
1623,The Disillusioned Medea
1624,Curiosity
1625,Portrait of a Seated Man
1626,The Van Moerkerken Family
1627,A Woman Playing the Theorbo-Lute and a Cavalier
1628,A Young Woman at Her Toilet with a Maid
1629,Portrait of a Man in Armor with Two Pages
1630,Barnyard Scene
1631,The Adoration of the Magi
1632,Christ's Descent into Hell
1633,The Departure of Saints Paula and Eustochium for the Holy Land
1634,The Last Communion of Saint Jerome
1635,Three Miracles of Saint Zenobius
1636,Madonna and Child with Two Angels
1637,The Coronation of the Virgin
1638,Madonna and Child Enthroned with Saints and Angels
1639,Saint Sebastian
1640,Imaginary Landscape with the Palatine Hill from Campo Vaccino
1641,The Interrupted Sleep
1642,Allegory of Autumn
1643,Allegory of Lyric Poetry
1644,Angelica and Medoro
1645,The Dispatch of the Messenger
1646,Virgin and Child with the Young Saint John the Baptist and Angels
1647,Shepherd's Idyll
1648,Washerwomen
1649,"Jupiter, in the Guise of Diana, and Callisto"
1650,On the Beach at Trouville
1651,Beaulieu: The Bay of Fourmis
1652,Village by a River
1653,Young Mother Gazing at Her Child
1654,The Proposal
1655,Breton Brother and Sister
1656,The Baptism of Christ
1657,A Classical Landscape
1658,Portrait of a Young Boy
1659,Head of Saint John the Baptist on a Charger
1660,The Man of Sorrows
1661,Virgin and Child
1662,The Mourning Virgin; The Man of Sorrows
1663,Virgin and Child
1664,Virgin and Child
1665,Virgin and Child
1666,Madonna and Child
1667,The Judgment of Solomon
1668,The Preaching of John the Baptist
1669,The Spinner
1670,Sentimental Conversation
1671,The Weeders
1672,A Peasant Girl Knitting
1673,Kynance
1674,Joseph Interpreting the Dreams of Pharaoh
1675,Sir John Shurley of Isfield (1565–1632)
1676,Portrait of a Woman
1677,"Mary, Queen of Scots, with Her Son, James"
1678,Tottenham Church
1679,Portrait of a Young Man
1680,Cosimo I de' Medici (1519–1574)
1681,Katharina Merian
1682,A Peasant with a Bird
1683,A Peasant Woman Picking Fleas off a Dog
1684,The Smokers
1685,The Brawl
1686,The Harvesters
1687,A Woodland Road with Travelers
1688,Aeneas and the Sibyl in the Underworld
1689,A Basket of Flowers
1690,The Crucifixion with the Virgin and Saint John
1691,Portrait of a Man
1692,Portrait of a Woman
1693,Portrait of a Woman of the Slosgin Family of Cologne
1694,The Annunciation
1695,Adam; Eve
1696,Madonna and Child Enthroned with Saints Mary Magdalen and John the Baptist
1697,The Love Song
1698,Echo
1699,Catharine Lorillard Wolfe (1828–1887)
1700,The Birth of Venus
1701,Florentine Poet
1702,Herodias
1703,Portrait of a Woman
1704,Man in Prayer
1705,Virgin and Child in an Apse
1706,Piazza San Marco
1707,A State Yacht and Other Craft in Calm Water
1708,Winter Scene
1709,The Musicians
1710,"Saint Vincent, Patron Saint of Lisbon"
1711,The Birth of the Virgin
1712,"Mrs. William Astor (Caroline Webster Schermerhorn, 1831–1908)"
1713,The Meditation on the Passion
1714,Two Children Teasing a Cat
1715,The Coronation of the Virgin
1716,The First Communion
1717,Self-Portrait
1718,Landscape with a Cave
1719,Cavalier and Shepherd
1720,The Adoration of the Shepherds
1721,Portrait of a Venetian Senator
1722,Saint Catherine of Alexandria
1723,The Route Nationale at Samer
1724,Saint Catherine Disputing and Two Donors
1725,A Woman with a Dog
1726,Apples
1727,Bathers
1728,The Card Players
1729,"Antoine Dominique Sauveur Aubert (born 1817), the Artist's Uncle, as a Monk"
1730,"Antoine Dominique Sauveur Aubert (born 1817), the Artist's Uncle"
1731,Gardanne
1732,The Gulf of Marseilles Seen from L'Estaque
1733,Gustave Boyer (b. 1840) in a Straw Hat
1734,The House with the Cracked Walls
1735,"Madame Cézanne (Hortense Fiquet, 1850–1922) in the Conservatory"
1736,"Madame Cézanne (Hortense Fiquet, 1850–1922) in a Red Dress"
1737,Mont Sainte-Victoire and the Viaduct of the Arc River Valley
1738,Mont Sainte-Victoire
1739,The Pool at Jas de Bouffan
1740,Rocks at Fontainebleau
1741,Still Life with a Ginger Jar and Eggplants
1742,Still Life with Apples and a Pot of Primroses
1743,Still Life with Apples and Pears
1744,"Still Life with Jar, Cup, and Apples"
1745,View of the Domaine Saint-Joseph
1746,Jean-Baptiste Colbert (1619–1683)
1747,The Silver Tureen
1748,Soap Bubbles
1749,Portrait of a Man
1750,Bathsheba at Her Bath
1751,Self-Portrait
1752,Portrait of a Carthusian
1753,Head of Christ
1754,The Lamentation
1755,The Annunciation
1756,The Adoration of the Shepherds with Saint Catherine of Alexandria
1757,Madonna and Child with Saints Francis and Clare
1758,"Three Saints: Roch, Anthony Abbot, and Lucy"
1759,Still Life with a Skull and a Writing Quill
1760,The Ford
1761,Pastoral Landscape: The Roman Campagna
1762,Sunrise
1763,The Trojan Women Setting Fire to Their Fleet
1764,View of La Crescenza
1765,"Charles IX (1550–1574), King of France"
1766,Guillaume Budé (1467–1540)
1767,"Henry II (1519–1559), King of France"
1768,The Adoration of the Shepherds
1769,Vanitas Still Life
1770,"Mrs. James Pulham Sr. (Frances Amys, ca. 1766–1856)"
1771,Salisbury Cathedral from the Bishop's Grounds
1772,Stoke-by-Nayland
1773,Madonna and Child
1774,Portrait of a Man with Gloves
1775,"Anne de Pisseleu (1508–1576), Duchesse d'Étampes"
1776,"Charles de Cossé (1506–1563), Comte de Brissac"
1777,Jean d'Albon de Saint-André (1472–1549)
1778,Portrait of a Bearded Man in Black
1779,Portrait of a Bearded Man in White
1780,Portrait of a Man
1781,Portrait of a Man
1782,Portrait of a Man
1783,Portrait of a Man with a Gold Chain
1784,Portrait of a Man with a Pointed Collar
1785,Portrait of a Man with Gloves
1786,Portrait of a Man with a Black-Plumed Hat
1787,Portrait of a Young Woman
1788,Portrait of a Dwarf
1789,Portrait of a Man
1790,Portrait of a Widow
1791,Toussaint Lemaistre (1807/8–1888)
1792,Hagar in the Wilderness
1793,Bacchante by the Sea
1794,The Gypsies
1795,Bacchante in a Landscape
1796,Boatman among the Reeds
1797,"The Burning of Sodom (formerly ""The Destruction of Sodom"")"
1798,The Environs of Paris
1799,The Ferryman
1800,Girl Weaving a Garland
1801,Honfleur: Calvary
1802,A Lane through the Trees
1803,The Letter
1804,Mother and Child
1805,The Muse: History
1806,A Pond in Picardy
1807,Portrait of a Child
1808,Reverie
1809,River with a Distant Tower
1810,Sibylle
1811,"Study for ""The Destruction of Sodom"""
1812,View of Lormes
1813,A Village Street: Dardagny
1814,Ville-d'Avray
1815,The Banks of the Seine at Conflans
1816,A Woman Gathering Faggots at Ville-d'Avray
1817,A Woman Reading
1818,"Saints Peter, Martha, Mary Magdalen, and Leonard"
1819,"Marianne Dorothy Harland (1759–1785), Later Mrs. William Dalrymple"
1820,The Storm
1821,"Admiral Harry Paulet (1719/20–1794), Sixth Duke of Bolton"
1822,"Madame Frederic Breyer (Fanny Hélène Van Bruyssel, 1830–1894)"
1823,"Jo, La Belle Irlandaise"
1824,Woman with a Parrot
1825,The Young Bather
1826,The Woman in the Waves
1827,The Calm Sea
1828,Marine: The Waterspout
1829,After the Hunt
1830,Alphonse Promayet (1822–1872)
1831,"A Brook in a Clearing (possibly ""Brook, Valley of Fontcouverte; Study"")"
1832,A Brook in the Forest
1833,The Deer
1834,The Fishing Boat
1835,The Hidden Brook
1836,Hunting Dogs with Dead Hare
1837,Louis Gueymard (1822–1880) as Robert le Diable
1838,"Madame Auguste Cuoq (Mathilde Desportes, 1827–1910)"
1839,Monsieur Suisse
1840,Nude with Flowering Branch
1841,Portrait of a Man
1842,River and Rocks
1843,The Sea
1844,The Source
1845,The Source of the Loue
1846,Woman in a Riding Habit (L'Amazone)
1847,View of Ornans
1848,Spring Flowers
1849,Apples
1850,"Portrait of a Woman, Called Héloïse Abélard"
1851,Soap Bubbles
1852,Lukas Spielhausen
1853,Christ and the Adulteress
1854,Christ Blessing the Children
1855,"Johann (1498–1537), Duke of Saxony"
1856,The Judgment of Paris
1857,Judith with the Head of Holofernes
1858,The Martyrdom of Saint Barbara
1859,Portrait of a Man with a Rosary
1860,Samson and Delilah
1861,Venus and Cupid
1862,"Friedrich III (1463–1525), the Wise, Elector of Saxony"
1863,Portrait of a Man
1864,"Johann I (1468–1532), the Constant, Elector of Saxony"
1865,"Johann I (1468–1532), the Constant, Elector of Saxony"
1866,Martin Luther (1483–1546)
1867,The Meeting of Alexander the Great and Diogenes
1868,Philip IV (1605–1665) in Parade Armor
1869,Madonna and Child
1870,Pietà
1871,Madonna and Child Enthroned with Two Angels and a Donor
1872,Madonna and Child with Two Angels
1873,"Hautbois Common, Norfolk"
1874,Bacchus and Nymphs in a Landscape
1875,Landscape with the Flight into Egypt
1876,Piping Shepherds
1877,Equestrian Portrait of Cornelis (1639–1680) and Michiel Pompe van Meerdervoort (1638–1653) with Their Tutor and Coachman
1878,Young Herdsmen with Cows
1879,Children and a Cow
1880,Christ Enthroned with Saints
1881,Madonna of the Rose
1882,The Pardon in Brittany
1883,Portrait of a Woman
1884,Charity
1885,Uvedale Tomkyns Price (1685–1764) and Members of His Family
1886,The Banks of the Oise
1887,Landscape on a River
1888,A River Landscape with Storks
1889,Boats on the Seacoast at Étaples
1890,Apple Blossoms
1891,The Seine: Morning
1892,Portejoie on the Seine
1893,The Hamlet of Optevoz
1894,Landscape with a Sunlit Stream
1895,The Laundress
1896,Don Quixote and the Dead Mule
1897,The Drinkers
1898,The Third-Class Carriage
1899,The Crucifixion
1900,The Nativity with Donors and Saints Jerome and Leonard
1901,The Nativity
1902,The Rest on the Flight into Egypt
1903,Virgin and Child with Four Angels
1904,Virgin and Child
1905,The Adoration of the Magi
1906,The Death of Socrates
1907,"Antoine Laurent Lavoisier (1743–1794) and Marie Anne Lavoisier (Marie Anne Pierrette Paulze, 1758–1836)"
1908,General Étienne-Maurice Gérard (1773–1852)
1909,Head of a Child
1910,The Experts
1911,The Good Samaritan
1912,The Turkish Patrol
1913,The Forge
1914,The Rope Dance
1915,The Old Italian Woman
1916,A Woman Seated beside a Vase of Flowers (Madame Paul Valpinçon?)
1917,The Collector of Prints
1918,"The Ballet from ""Robert le Diable"""
1919,Dancers in the Rehearsal Room with a Double Bass
1920,Dancers Practicing at the Barre
1921,"Dancers, Pink and Green"
1922,The Dancing Class
1923,James-Jacques-Joseph Tissot (1836–1902)
1924,Joseph-Henri Altès (1826–1895)
1925,"Madame Théodore Gobillard (Yves Morisot, 1838–1893)"
1926,Marie Dihau (1843–1935)
1927,Portrait of a Woman in Gray
1928,Portrait of a Young Woman
1929,Sulking
1930,Two Men
1931,A Woman Ironing
1932,Basket of Flowers
1933,Christ Asleep during the Tempest
1934,George Sand's Garden at Nohant
1935,Hamlet and His Mother
1936,"Madame Henri François Riesener (Félicité Longrois, 1786–1847)"
1937,The Natchez
1938,Triumph of the Amazons
1939,Departure of the Amazons
1940,Objects of Art from the Louvre
1941,Still Life with Silver
1942,A Dragoon on Horseback
1943,The Defense of Champigny
1944,Gendarmes d'Ordonnance
1945,Louis-Félix Amiel (1802–1864)
1946,Diana
1947,Autumn: The Woodland Pond
1948,The Edge of the Woods
1949,A Vista through Trees: Fontainebleau
1950,The Forest of Fontainebleau
1951,Saint Cecilia
1952,Christ Healing the Sick
1953,The Adoration of the Shepherds
1954,"Surprised, or Infidelity Found Out"
1955,Landscape with Moses and the Burning Bush
1956,Portrait of an Old Man
1957,Don Quixote and Sancho Panza Entertained by Basil and Quiteria
1958,The Three Ages of Humans
1959,An Evening School
1960,Self-Portrait
1961,Portrait of a Man (Self-Portrait?)
1962,Young Woman with a Pearl Necklace
1963,"Portrait of a Woman, Said to be Madame Charles Simon Favart (Marie Justine Benoîte Duronceray, 1727–1772)"
1964,"Marie Rinteau, called Mademoiselle de Verrières"
1965,Madame Sophie de France (1734–1782)
1966,Portrait of a Young Woman as a Vestal Virgin
1967,Boy with a Black Spaniel
1968,A Couple in an Interior with a Gypsy Fortune-Teller
1969,Self-Portrait with a Harp
1970,Landing the Shore End of the Atlantic Cable
1971,Awaiting the Reply
1972,Grappling for the Lost Cable
1973,"Homeward Bound: ""The Great Eastern"""
1974,Landing at Newfoundland
1975,Making the Splice between the Shore End and the Ocean Cable
1976,Imaginary Landscape
1977,Card Players in a Drawing Room
1978,"Madame de Saint-Morys (Eléonore Elisabeth Angélique de Beauterne, 1742–1824)"
1979,Benjamin Franklin (1706–1790)
1980,Benjamin Franklin (1706–1790)
1981,"Anne Elizabeth Cholmley (1769–1788), Later Lady Mulgrave"
1982,Mrs. John Puget (Catherine Hawkins)
1983,Cows Crossing a Ford
1984,Salvator Mundi
1985,Virgin and Child with Saint Anne
1986,Virgin and Child
1987,Portrait of an Italian Woman
1988,A Young Woman in a Landscape
1989,"James Stuart (1612–1655), Duke of Richmond and Lennox"
1990,Lucas van Uffel (died 1637)
1991,Portrait of a Man
1992,"Portrait of a Woman, Called the Marchesa Durazzo"
1993,"Robert Rich (1587–1658), Second Earl of Warwick"
1994,Saint Rosalie Interceding for the Plague-stricken of Palermo
1995,Self-Portrait
1996,Study Head of an Old Man with a White Beard
1997,Virgin and Child
1998,Virgin and Child with Saint Catherine of Alexandria
1999,Isaac Blessing Jacob
2000,A Musical Party
2001,Putti with a Medallion
2002,Putti with a Medallion
2003,Conversation Piece (The Sense of Smell)
2004,The Crucifixion with Donors and Saints Peter and Margaret
2005,Allegory
2006,Head of Christ
2007,Virgin and Child in a Niche
2008,Portrait of a Man with a Moor's Head on His Signet Ring
2009,Heinrich(?) vom Rhein zum Mohren (1477–1536)
2010,Abraham Dismissing Hagar and Ishmael
2011,Flowers by a Stone Vase
2012,Flowers in a Stone Vase
2013,Still Life with Roses and Fruit
2014,Still Life with Flowers and Fruit
2015,Still Life with Pansies
2016,Portrait of a Woman
2017,The Palace of Aurora
2018,Self-Portrait
2019,Saints John the Evangelist and Lawrence
2020,The Parable of the Mote and the Beam
2021,The Good Samaritan
2023,Bearded Man with a Velvet Cap
2024,Portrait of a Prelate
2025,Madonna and Child
2026,Recess of the Court
2027,Mirope Savati Gaye
2028,The Cascade
2029,Portrait of a Young Woman
2030,Roman Interior
2031,The Love Letter
2032,A Woman with a Dog
2033,A Shaded Avenue
2034,The Stolen Kiss
2035,The Two Sisters
2036,Allegory of Vigilance
2037,Gathering Olives at Tivoli
2038,The Nativity
2039,Federico Gonzaga (1500–1540)
2040,Madonna and Child
2041,Madonna and Child with Saints Francis and Jerome
2042,Portrait of a Monk in Prayer
2043,Monsieur de Bellefourière
2044,Portrait of a Member of the de Thou Family
2045,Portrait of a Man with a High Hat
2046,Portrait of a Man in a White Fur Coat
2047,"Henri III (1551–1589), King of France"
2048,"Alfonso II d'Este (1533–1597), Duke of Ferrara"
2049,Holy Family with Saint Anne
2050,Still Life with Strawberries
2051,The Restoration of the Catholic Religion in Strasbourg
2052,Trompe l'oeil with Palettes and Miniature
2053,Portrait of a Man in a Brown Coat
2054,Portrait of a Woman in a Rose Dress
2055,Cartoon for the Back of a Tapestry Settee
2056,Portrait of a Woman Holding a Book
2057,Study of a Nude Man
2058,Portrait of a Man in a Blue Coat
2059,Napoleon Bonaparte (1769–1821)
2060,Portrait of a Young Man
2061,The Nymph of Fontainebleau
2062,Christ Bearing the Cross
2063,Portrait of a Man of the Moncheaux Family
2064,The Resurrection
2065,Jerusalem from the Mount of Olives
2066,The Arab Falconer
2067,Arabs Crossing a Ford
2068,The Nativity
2069,The Night-Hag Visiting Lapland Witches
2070,"A Hare, Partridges, and Fruit"
2071,A Partridge and Small Game Birds
2072,The Trinity
2073,Charles Rousseau Burney (1747–1819)
2074,Queen Charlotte
2075,A Boy with a Cat—Morning
2076,Lieutenant Colonel Paul Pechell (1724–1800)
2077,Mrs. Grace Dalrymple Elliott (1754?–1823)
2078,"Mrs. Ralph Izard (Alice De Lancey, 1746/47–1832)"
2079,"John Hobart (1723–1793), 2nd Earl of Buckinghamshire"
2080,"Portrait of a Young Woman, Called Miss Sparrow"
2081,Cottage Children (The Wood Gatherers)
2082,Wooded Upland Landscape
2083,The Painter's Daughter Mary (1750–1826)
2084,The Translation of the Holy House of Loreto
2085,Two Tahitian Women
2086,A Farm in Brittany
2087,The Siesta
2089,Tahitian Landscape
2090,Madonna and Child with Angels
2091,Esther before Ahasuerus
2092,Alfred Dedreux (1810–1860) as a Child
2093,Evening: Landscape with an Aqueduct
2094,An Episode from the Life of Saint Giovanni Gualberto
2095,Portrait of a Man in Profile
2096,Portrait of a Man
2097,"Cafe House, Cairo (Casting Bullets)"
2098,Prayer in the Mosque
2099,Pygmalion and Galatea
2100,Tiger and Cubs
2101,Vanitas Still Life
2102,Francesco Sassetti (1421–1490) and His Son Teodoro
2103,Portrait of a Man
2104,Selvaggia Sassetti (born 1470)
2105,Saint Christopher and the Infant Christ
2106,Madonna and Child with Angels
2107,Saint John the Evangelist Raises Satheus to Life
2108,Saint John the Evangelist with Acteus and Eugenius
2109,Saint John the Evangelist Causes a Pagan Temple to Collapse
2110,The Man of Sorrows
2111,Diana the Huntress
2112,The Annunciation
2113,The Flight into Egypt
2114,The Adoration of the Magi
2115,The Adoration of the Magi
2116,Madonna and Child with Two Angels and a Donor
2117,The Miraculous Communion of Saint Catherine of Siena
2118,Saints Matthew and Francis
2119,Before the Mirror
2120,"Marie Adélaïde de Savoie (1685–1712), Duchesse de Bourgogne"
2121,Portrait of a Man
2122,A Benedictine Monk
2123,The Adoration of the Magi
2124,Sunflowers
2125,Bouquet of Flowers in a Vase
2126,"First Steps, after Millet"
2127,The Flowering Orchard
2128,Irises
2129,"L'Arlésienne: Madame Joseph-Michel Ginoux (Marie Julien, 1848–1911)"
2130,Oleanders
2131,Peasant Woman Cooking by a Fireplace
2132,Self-Portrait with a Straw Hat (obverse: The Potato Peeler)
2133,Shoes
2134,Roses
2135,Wheat Field with Cypresses
2136,Women Picking Olives
2137,Portrait of a Man
2138,Virgin and Child
2139,Sebastián Martínez y Pérez (1747–1800)
2140,"Ignacio Garcini y Queralt (1752–1825), Brigadier of Engineers"
2141,Josefa de Castilla Portugal y van Asbrock de Garcini (1775–about 1850)
2142,"Tiburcio Pérez y Cuervo (1785/86–1841), the Architect"
