,Title
254,Boy of the Crossfield Family (Possibly Richard Crossfield)
255,Susannah or Mary Bontecou
256,Red School House (Country Scene)
257,Lady with Fan
258,Mrs. Augustus Jay
259,Portrait of a Lady
260,Arcadia
261,The Artist's Wife and His Setter Dog
262,Carmelita Requena
263,The Chess Players
264,James MacAlister (Sketch)
265,The Champion Single Sculls (Max Schmitt in a Single Scull)
266,Mrs. Mary Arthur
267,Pushing for Rail
268,Signora Gomez d'Arza
269,The Thinker: Portrait of Louis N. Kenton
270,The Writing Master
271,Elijah Boardman
272,Lady Williams and Child
273,Marinus Willett
274,Master Rees Goring Thomas
275,Mrs. Noah Smith and Her Children
276,Mrs. Williams
277,The Alling Children
278,The New Bonnet
279,Samuel Humes
280,Isaac D. Fletcher
281,Andrew Varick Stout
282,Caleb Gasper
283,Mathew B. Brady
284,Mrs. James Clinton Griswold
285,Portrait of the Artist
286,Preston Hodges
287,The Tow Boat Conqueror
288,Calliope
289,Clio
290,Erato
291,Euterpe
292,Melpomene
293,Polyhymnia
294,Terpsichore
295,Thalia
296,Urania
297,Tench Francis
298,The Death of the First Born
299,Egyptian Scene (possibly Moses and Zipporah)
300,Girl of the Bangs-Phelps Family
301,Mark Twain
302,In the Connecticut Hills
303,Still Life with Fruit
304,Alphonso T. Clearwater
305,Henry Clay
306,Summer
307,Woman with a Mirror (Femme qui se mire)
308,Christopher Colles
309,And She Was a Witch
310,Ideal Head of a Boy (George Spencer Fuller)
311,Nydia
312,The Quadroon
313,Sir Casper Purdon Clarke
314,A Difficult Question (Une Question Difficile)
315,Broad Acres
316,"Le Grand Salon, Musée Jacquemart-André"
317,"The Green Lacquer Room, Museo Correr, Venice"
318,The Green Salon
319,William Henry Huntington
320,Near the Coast
321,Isola Bella in Lago Maggiore
322,A Gorge in the Mountains (Kauterskill Clove)
323,Tivoli
324,"Garden Gate, Near Ascain #7"
325,The Green Sofa
326,White Mules on a Bridge
327,A Window at Night
328,"The Celebration of Armistice Day, 1918"
329,Louis Kronberg in His Studio in Copley Hall
330,The Greek Lovers
331,The Pride of the Village
332,The Wages of War
333,"Silver Clouds, Arizona"
334,Charles Loring Elliott
335,The Crossing Sweeper
336,A Bachelor's Drawer
337,Niagara Falls
338,On Hampstead Heath
339,Eunice Harriet Brigham
340,Mrs. Francis Stanton Blake
341,Mrs. Thomas Brewster Coolidge
342,Stephen Van Rensselaer
343,The Artist's Letter Rack
344,The Banker's Table
345,New York Daily News
347,Still Life—Violin and Music
348,Castles in Spain (Chateaux en Espagne)
349,Godesberg
350,Mountain Range
351,Pasture Scene
352,Scene at Napanoch
353,"Seashore, Morning"
354,"Santa Maria della Salute, Sunset"
355,"Avenue of the Allies, Great Britain, 1918"
356,Broadway and 42nd Street
357,The Church at Gloucester
358,"Coast Scene, Isles of Shoals"
359,Golden Afternoon
360,"July Fourteenth, Rue Daunou, 1910"
361,Peach Blossoms—Villiers-le-Bel
362,Spring Morning in the Heart of the City
363,Molly Wales Fobes
364,View of the Bay and City of New York from Weehawken
365,The Trousseau
366,Approaching Thunder Storm
367,Hummingbird and Apple Blossoms
368,Hummingbird and Passionflowers
369,Newburyport Meadows
370,Alexander Van Rensselaer
371,Euphemia White Van Rensselaer
372,Moses Pond
373,Portrait of the Artist
374,The 9:45 Accommodation
375,A Carriage Ride
376,"The North Dutch Church, Fulton and William Streets, New York"
377,"Saint George's Church, New York"
378,Courtlandt Palmer
379,Portrait of a Russian Nobleman (D. C. Imboden)
380,Mrs. Richard Galloway
381,The Falls of Niagara
382,Peaceable Kingdom
383,Mrs. Thomas Hicks
384,"View of Poestenkill, New York"
385,A Study of Trap Rock (Buttermilk Falls)
386,View of Yosemite Valley
387,The Rabbit Hunters
388,Rats amongst the Barley Sheaves
389,Vespers
390,View of the Schuylkill County Almshouse Property
391,"The Beach, Late Afternoon"
392,Camp Fire
393,Cannon Rock
394,Dressing for the Carnival
395,"Eagle Head, Manchester, Massachusetts (High Tide)"
396,The Gulf Stream
397,Harvest Scene
398,Maine Coast
399,"Moonlight, Wood Island Light"
400,Northeaster
401,Prisoners from the Front
402,Rainy Day in Camp
403,Saddle Horse in Farm Yard
404,"Searchlight on Harbor Entrance, Santiago de Cuba"
405,"Shooting the Rapids, Saguenay River"
406,Snap the Whip
407,The Studio
408,"Study for Eagle Head, Manchester, Massachusetts"
409,The Veteran in a New Field
410,George Blumenthal
411,Jerusalem the Golden
412,The Last Moments of John Brown
413,Charles Carroll of Carrollton
414,Morning on the Mountain
415,"Anahita: A Study for ""The Flight of Night"""
416,The Bathers
417,Charles Sumner
418,"Fortune: A Study for ""The Discoverer"""
419,Girl at the Fountain
420,Italian Boy
421,Italian Girl
422,Landscape
423,"Sand Bank with Willows, Magnolia"
424,New York Bay
425,Anna Watson Stuart
426,Cyrus W. Field
427,John David Wolfe
428,Mary Inman
429,Mercy's Dream
430,Mrs. Birdsall Cornell
431,Mrs. Sylvester Dering
432,Nicoll Havens Dering
433,Study in a Wood
434,William C. Prime
435,Little Girl with Flowers (Amelia Palmer)
436,The Flower Girl
437,Mrs. David Cadwallader Colden
438,Mrs. Luman Reed
439,A Gentleman of the Wilkes Family
440,Martin Van Buren
441,William Charles Macready as William Tell
442,The Young Fisherman
443,Autumn Meadows
444,Autumn Oaks
445,The Delaware Valley
446,Delaware Water Gap
447,"Evening at Medfield, Massachusetts"
448,Landscape
449,Peace and Plenty
450,Pine Grove of the Barberini Villa
451,"Spring Blossoms, Montclair, New Jersey"
452,Sunrise
453,Mrs. Adrian Baucker Holmes
454,Alexander Anderson
455,Augustus Washington Clason
456,General Andrew Jackson
457,Mrs. William Thomas
458,Mrs. Robert Dickey (Anne Brown)
459,Robert Dickey
460,"Bayside, New Rochelle, New York"
461,"Near Squam Lake, New Hampshire"
462,"On the Unadilla, New York"
463,"Christmas-Time, The Blodgett Family"
464,Corn Husking at Nantucket
465,A Fisherman
466,The Funding Bill
467,Grover Cleveland
468,The Hatch Family
469,Lewis Einstein
470,The New Bonnet
471,Sanford Robinson Gifford
